transcript_id	gene_name	se_id	SElet_id	length	type	subtype	reads_2i_1	reads_2i_2	reads_ser_1	reads_ser_2	reads_sahlen	fpkm_2i_1	fpkm_2i_2	fpkm_ser_1	fpkm_ser_2	fpkm_sahlen	distance	n_baits_joshi	n_baits_sahlen
ENSMUST00000047577	Prdm14	45	1	10104	M	INT	68.8409621797017	70.6716270235532	75.8450694390912	68.0676632095337	12.0229245877112	125.467206481123	128.803714233029	138.232655189347	124.057817964611	21.912575216709	57526	5	0
ENSMUST00000068304	Ncoa2	45	1	10104	M	INT	3.40189973289908	4.09181270593814	2.1689435423954	3.89805984091619	6.67785571182452	99.2232594689866	119.345961285521	63.2616081536539	113.694768626015	194.773115616243	304446	5	0
ENSMUST00000088585	Sulf1	45	1	10104	M	INT	9.07173262106422	10.6387130354392	8.67577416958159	0.974514960229048	2.86193816221051	264.595358583964	310.299499342353	253.046432614615	28.4236921565038	83.4741924069613	340989	5	0
ENSMUST00000047577	Prdm14	45	2	336	U	DM	5.21522440755316	3.28705241970015	3.4871296293835	7.26055074235027	0	285.831677102559	180.154032199686	191.119697322545	397.930219909344	0	57190	1	0
ENSMUST00000068304	Ncoa2	45	2	336	U	DM	1.13396657763303	0	0	0.974514960229048	0	994.595053248651	0	0	854.741028420578	0	304110	1	0
ENSMUST00000088585	Sulf1	45	2	336	U	DM	1.13396657763303	0	0	0	0	994.595053248651	0	0	0	0	351093	1	0
ENSMUST00000047577	Prdm14	45	3	4294	M	INT	22.9469873932339	27.9399455674513	36.6148611085268	29.9497718121948	9.61833967016894	98.4102355445792	119.822989278599	157.026150944094	128.442311316803	41.2491215630419	52896	3	0
ENSMUST00000068304	Ncoa2	45	3	4294	M	INT	2.2439102908924	0	2.80911592747117	0	4.08518275040054	24.8140302657857	0	31.0642934021434	0	45.1755352346953	299816	3	0
ENSMUST00000088585	Sulf1	45	3	4294	M	INT	0	2.45508762356289	5.42235885598849	0.974514960229048	2.86193816221051	0	168.496263553176	372.144439208499	66.8823906728724	196.419012594303	351429	3	0
ENSMUST00000047577	Prdm14	45	4	4949	U	DM	67.7979172981911	49.3057862955023	70.6143749950159	60.8071124671835	3.60687737631335	252.275765929274	183.466624022311	262.755793207233	226.263010471791	13.4211755903997	47947	6	0
ENSMUST00000068304	Ncoa2	45	4	4949	U	DM	8.9756411635696	5.18083186051986	3.7454879032949	4.62733753023528	1.02129568760014	86.119576448805	49.7091001466689	35.9372468158696	44.3984269120489	9.79913862890389	294867	6	0
ENSMUST00000088585	Sulf1	45	4	4949	U	DM	9.07173262106422	1.63672508237526	9.76024594077929	5.84708976137429	0	540.204385357117	97.4638587859284	581.204041125547	348.183049766798	0	355723	6	0
ENSMUST00000047577	Prdm14	45	5	4809	M	INT	80.3144558763187	65.741048394003	88.0500231419334	73.5130762662964	18.0343868815668	307.549891869304	251.74362578122	337.171867765538	281.505221071239	69.0594697409942	43138	7	0
ENSMUST00000068304	Ncoa2	45	5	4809	M	INT	5.609775727231	3.45388790701324	5.61823185494235	4.62733753023528	3.06388706280041	55.3916853614494	34.1041570147452	55.4751823118336	45.6909575353982	30.2532358543015	290058	7	0
ENSMUST00000088585	Sulf1	45	5	4809	M	INT	13.6075989315963	8.18362541187629	19.5204918815586	4.87257480114524	0.953979387403504	833.896289186642	501.506172937783	1196.24820109392	298.599485911119	58.4614431330101	360672	7	0
ENSMUST00000047577	Prdm14	45	6	1420	U	DM	6.25826928906379	10.6829203640255	10.4613888881505	11.7983949563192	0	81.1600931040505	138.540988142293	135.668066831779	153.006971880635	0	41718	1	0
ENSMUST00000068304	Ncoa2	45	6	1420	U	DM	3.3658654363386	1.72694395350662	2.80911592747117	6.4782725423294	0	112.5543443253	57.7489053112358	93.936673147045	216.633056832973	0	288638	1	0
ENSMUST00000088585	Sulf1	45	6	1420	U	DM	2.26793315526605	1.63672508237526	3.2534153135931	0.974514960229048	0	470.68160266415	339.682138825042	675.206290969562	202.248581372756	0	365481	1	0
ENSMUST00000047577	Prdm14	45	7	8068	M	INT	57.3674684830848	42.731681456102	53.1787268480984	68.0676632095337	18.0343868815668	130.941234329581	97.535053625214	121.380432459187	155.364426464357	41.1634841329253	33650	2	0
ENSMUST00000068304	Ncoa2	45	7	8068	M	INT	0	0.863471976753311	0.936371975823725	0.925467506047057	17.3620266892023	0	5.08201819174237	5.51107568454817	5.44689674734085	102.185291307086	280570	2	0
ENSMUST00000088585	Sulf1	45	7	8068	M	INT	10.2056991986972	11.4570755766268	6.50683062718619	1.9490299204581	3.81591754961401	372.788230171532	418.497825969375	237.677970544566	71.1931049948721	139.385761044445	366901	2	0
ENSMUST00000047577	Prdm14	45	8	3749	U	DM	55.2813787200635	16.4352620985008	40.9737731452561	24.5043587554321	8.41604721139782	271.543905353021	80.7305345680106	201.264487871275	120.366196152893	41.3398938364202	29901	5	0
ENSMUST00000068304	Ncoa2	45	8	3749	U	DM	0	0.863471976753311	0	2.77640251814117	4.08518275040054	0	10.9367091947126	0	35.1658279201488	51.7427976254418	276821	5	0
ENSMUST00000088585	Sulf1	45	8	3749	U	DM	4.53586631053211	0.818362541187629	6.50683062718619	0	2.86193816221051	356.557949204104	64.3303063659055	511.492629062031	0	224.972856783125	374969	5	0
ENSMUST00000047577	Prdm14	45	9	3618	M	INT	19.817852748702	20.5440776231259	23.5381249983386	26.3194964410197	4.80916983508447	100.870615070356	104.567017031327	119.806377426073	133.963241528353	24.4781271409207	26283	1	0
ENSMUST00000068304	Ncoa2	45	9	3618	M	INT	0	0.863471976753311	0	0	1.02129568760014	0	11.3327039167986	0	0	13.4040732654631	273203	1	0
ENSMUST00000088585	Sulf1	45	9	3618	M	INT	5.66983288816514	2.45508762356289	4.33788708479079	0	0	461.835182271347	199.978705278424	353.341784844952	0	0	378718	1	0
ENSMUST00000047577	Prdm14	45	13	1816	M	INT	10.6307140616431	18.7110754627122	21.5558506657557	25.0841728918511	5.80387861873374	35.4827171758427	62.4529824477896	71.9481446140498	83.7248191561199	19.3719238761671	23813	2	0
ENSMUST00000068304	Ncoa2	45	13	1816	M	INT	2.2439102908924	0	0.936371975823725	0	1.02129568760014	58.673703723174	0	24.484228316594	0	26.7048111643422	270733	2	0
ENSMUST00000088585	Sulf1	45	13	1816	M	INT	4.53586631053211	1.63672508237526	2.1689435423954	0.974514960229048	0	736.087968924112	265.61048300196	351.979784572973	158.145917152706	0	382990	2	0
ENSMUST00000047577	Prdm14	45	14	1308	U	DM	32.8585707359878	48.4786955170271	35.9264177762596	33.4455638558014	11.6077572374675	152.26889694921	224.653639113692	166.485513021298	154.989063799708	53.79115253688	22505	4	0
ENSMUST00000068304	Ncoa2	45	14	1308	U	DM	4.4878205817848	2.59041593025993	0.936371975823725	5.55280503628234	2.04259137520027	162.922700246612	94.0406485572877	33.9933934426106	201.585151181404	74.1528089823323	269425	4	0
ENSMUST00000088585	Sulf1	45	14	1308	U	DM	1.13396657763303	4.09181270593814	2.1689435423954	0.974514960229048	0.953979387403504	255.492307256534	921.920178003746	488.681413443821	219.566502713543	214.939663628934	384806	4	0
ENSMUST00000088174	Hs6st1	100	21	395	M	INT	2.08608976302127	0.821763104925038	2.61534722203763	3.63027537117513	0	97.2551326647694	38.3112372272749	121.929528418434	169.246270746252	0	54661	1	0
ENSMUST00000088174	Hs6st1	100	22	485	U	PU	2.08608976302127	2.46528931477511	4.35891203672938	1.81513768558757	0	79.2077884589359	93.6058064212799	165.505717269008	68.9198731389379	0	54176	2	0
ENSMUST00000088174	Hs6st1	100	23	290	M	INT	8.34435905208506	1.64352620985008	1.74356481469175	1.81513768558757	1.20229245877112	529.872791759778	104.36509451568	110.717617759268	115.262546456499	76.3464344791819	53886	2	0
ENSMUST00000088174	Hs6st1	100	24	1361	U	DM	10.4304488151063	14.7917358886507	19.1792129616093	8.16811958514405	1.20229245877112	141.130703168934	200.141731584074	259.507127591524	110.519928821258	16.2677927986501	52525	3	0
ENSMUST00000088174	Hs6st1	100	25	1349	M	INT	16.6887181041701	9.86115725910045	12.2049537028423	17.2438080130819	0	227.817805204352	134.614725320447	166.609906635518	235.395341354823	0	51176	3	0
ENSMUST00000088174	Hs6st1	100	26	236	U	PU	8.34435905208506	8.21763104925038	6.974259258767	0.907568842793783	0	651.114871230236	641.226216303966	544.205239833688	70.8180899838662	0	50940	1	0
ENSMUST00000088174	Hs6st1	100	27	303	M	INT	0	0	0	0.907568842793783	0	0	0	0	55.1586443438694	0	50637	1	0
ENSMUST00000088174	Hs6st1	101	28	5107	M	INT	12.5635711637601	36.5716474953011	23.1525803447006	29.7293900940457	2.90193930936687	14.9113691917919	43.4059178434501	27.4791831687395	35.2850241194036	3.44423475221456	8975	2	0
ENSMUST00000088174	Hs6st1	101	29	2396	U	DM	22.2278566743447	45.076681796534	34.3296880973147	43.6650417006296	2.90193930936687	56.2316789725527	114.034274067287	86.8467000034304	110.463129360866	7.34127999981626	6579	2	0
ENSMUST00000027290	Tmem131	108	32	3260	U	DM	44.8509299049572	10.6829203640255	49.6915972187149	13.6135326419067	19.2366793403379	253.35558716428	60.3460745895879	280.699727233235	76.9006253199038	108.66486379859	42999	5	0
ENSMUST00000027290	Tmem131	108	34	341	U	PU	6.25826928906379	0.821763104925038	4.35891203672938	0	3.60687737631335	337.968716151765	44.3781193688375	235.396694649469	0	194.784158348646	46273	1	0
ENSMUST00000027290	Tmem131	108	36	2383	U	DM	52.1522440755316	18.9005514132759	37.4866435158726	17.2438080130819	30.0573114692779	403.019066330087	146.058577511453	289.687094724731	133.255692609172	232.275136371829	46628	5	0
ENSMUST00000048860	Mreg	230	39	507	U	DM	158.494282373588	103.76141847504	102.989064291944	102.194778448282	11.6077572374675	1894.85471762205	1240.5041390777	1231.27037401313	1221.77440825674	138.774807728282	1849	2	0
ENSMUST00000055226	Fn1	230	39	507	U	DM	1.13396657763303	1.63672508237526	1.0844717711977	1.9490299204581	2.86193816221051	659.139916945852	951.377982508007	630.370107282563	1132.91118559887	1663.5566865482	560985	2	0
ENSMUST00000047328	Igfbp2	237	41	12116	M	INT	140.132139903478	89.3028601629447	91.0135916998576	51.097389224141	114.626602719991	70.1049632847843	44.676215872117	45.5320564499317	25.5628765676035	57.3451156935136	19399	4	0
ENSMUST00000047328	Igfbp2	237	43	445	M	INT	14.496428265877	6.80402744098626	11.9754725920865	3.71617376175571	4.35290896405031	197.456428165466	92.6779294179251	163.118390286035	50.6181511735377	59.2911467850329	18863	2	0
ENSMUST00000047328	Igfbp2	237	44	907	U	PU	19.3285710211693	15.3090617422191	11.9754725920865	16.7227819279007	36.2742413670859	129.170320519856	102.308463979821	80.0305222461806	111.756171692403	242.416026454793	17956	2	0
ENSMUST00000047328	Igfbp2	237	45	5078	M	INT	123.702854535484	46.7776886567805	72.6512003919916	31.5874769749235	97.2149668637902	147.658108813246	55.8362623696268	86.7202207513852	37.7044420665432	116.040799618994	12878	3	0
ENSMUST00000027421	Trip12	282	47	1526	U	DM	41.556427695514	22.1130891832053	25.5476748631179	19.5099122492175	15.9606662015178	165.064602575194	87.8345055181352	101.476884127267	77.4945318998541	63.3967154898943	21346	5	0
ENSMUST00000097672	Fbxo36	282	47	1526	U	DM	50.2542846550402	22.9635926133286	29.5394990604801	23.2260860109732	15.9606662015178	199.613007765351	91.2127557303711	117.332647272153	92.255395118874	63.3967154898943	20809	5	0
ENSMUST00000027421	Trip12	282	48	4445	M	INT	29.9592850828124	55.2827229580134	30.3378638999525	34.3746072962403	24.6664841296184	40.8535647025512	75.3855204840687	41.3698084699941	46.8744577655961	33.6361098934213	22872	2	0
ENSMUST00000097672	Fbxo36	282	48	4445	M	INT	32.8585707359878	63.7877572592462	39.9182419736217	38.090781057996	24.6664841296184	44.8071354802175	86.9832928662332	54.4339585131502	51.9419667132281	33.6361098934213	22335	2	0
ENSMUST00000139562	Fbxo36	282	49	889	U	DM	334.384278666229	67.1897709797393	162.866427252377	68.7492145924807	0	2279.89248178754	458.112009095495	1110.45275366826	468.744577655961	0	185	2	0
ENSMUST00000027421	Trip12	282	49	889	U	DM	37.5496157343828	13.9699727837256	10.4613888881505	4.53784421396892	3.60687737631335	777.822264619247	289.381280068786	216.70264893265	93.9992645455142	74.7147334048236	27317	2	0
ENSMUST00000139562	Fbxo36	282	50	1373	M	INT	605.950701513658	127.575514518492	363.256001959958	144.930776708473	0	2675.08158798677	563.205734581801	1603.66089211775	639.823753544608	0	1074	3	0
ENSMUST00000027421	Trip12	282	50	1373	M	INT	66.7548724166805	21.365840728051	33.1277314791433	18.1513768558757	8.41604721139782	895.342226425845	286.566938327832	444.321976586719	243.453302785032	112.879287685899	28206	3	0
ENSMUST00000139562	Fbxo36	282	51	1255	U	DM	50.2542846550402	33.169633774808	41.5149716525666	25.0841728918511	98.6659365184736	242.71669310751	160.201739546623	200.50781148573	121.150814013955	476.533891557794	2447	1	2
ENSMUST00000027421	Trip12	282	51	1255	U	DM	4.17217952604253	11.5046834689505	7.84604166611288	7.26055074235027	44.4848209745313	61.2203623945561	168.813658858032	115.128678227764	106.537493139075	652.746806343921	29579	1	2
