chr	start	end	SElet_id	se_id	length	type	pct_meth_2i_marks	cov_2i_marks	pct_meth_ser_marks	cov_ser_marks	pct_meth_ser_schubeler	cov_ser_schubeler	pct_meth_episc_veillard	cov_episc_veillard	pct_meth_epilc_surani	cov_epilc_surani	pct_meth_episc_surani	cov_episc_surani	E35ICM_pct_meth	E35ICM_cov	E40ICM_pct_meth	E40ICM_cov	E55Epi_pct_meth	E55Epi_cov	E55VE_pct_meth	E55VE_cov	E65Epi_pct_meth	E65Epi_cov	E65VE_pct_meth	E65VE_cov	nCG	in.vitro	in.vivo	H3K27ac_2i	H3K27ac_ser	H3K27ac_EpiLC	H3K27ac_EpiSC	ATAC_2i	ATAC_ser	ATAC_EpiLC	ATAC_EpiSC	Esrrb_ser	H3K27ac_WT	H3K27ac_KO	Med1_WT	Med1_KO	GROseq_2i	GROseq_ser	Pol2_2i	Pol2_ser	STARTseq_2i	STARTseq_ser
chr1	13049615	13059718	1	45	10104	INT	0.266666666666667	105	0.894230769230769	104	0.928571428571429	98	1	98	0.805194805194805	77	0.857142857142857	98	0.0524953789279113	2705	0.168831168831169	154	0.744485294117647	544	0.581967213114754	610	0.84251968503937	1143	0.718085106382979	564	113	1	1	1.49834978000183	0.639531520672236	0.408807355411611	0.498764445313156	1.04830735800729	0.12317876834651	-0.40803419304875	-0.526329445741214	148.923751732466	101.461659116781	49.5861372530626	114.612217271053	191.516221323459	0.700380481310178	0.0306505030265577	0.568227469846105	0.451851637313722	0.292720724147357	0.677392457314605
chr1	13059719	13060054	2	45	336	DM	0	5	0	5	0	5	1	5	0	3	0.5	4	0	78			0.111111111111111	9	0.72	50	0.67741935483871	31	0.833333333333333	48	3	1	1	2.34388846045918	1.07451481161946	0.692150154843926	0.734345094027725	2.63210529064271	2.96851860945493	0.894174503562974	0.344823154060574	154.162710176553	85.4721205750716	118.524733831927	182.66052668563	388.505799618012	3.94617687957331	0.718711622851626	2.50611815741784	0.796880680654213	2.95689548788602	2.63242725235836
chr1	13060055	13064348	3	45	4294	INT	0.0434782608695652	23	0.807692307692308	26	0.666666666666667	27	1	24	0.714285714285714	21	0.76	25	0.0809160305343511	655			0.737451737451737	259	0.717391304347826	230	0.912751677852349	298	0.758620689655172	261	30	1	1	2.92557563282577	1.55936624600924	0.53889881780727	0.924200504440688	0.352976367431281	0.0774897534554709	-0.352131274480295	-0.254001304681217	291.124409830263	158.239396765804	177.501319922057	148.567757128375	243.543875550588	2.84841917693716	0.409711063480858	1.52765409946041	0.921655257928647	0	0.185710475756852
chr1	13064349	13069297	4	45	4949	DM	0	50	0.211538461538462	52	0.136363636363636	44	1	37	0.574468085106383	47	0.75	40	0.0128491620111732	1790	0.288888888888889	45	0.533707865168539	356	0.574074074074074	378	0.635906040268456	596	0.451713395638629	321	61	1	1	3.7355158046423	2.02367285876859	0.618284858093759	0.88723945107015	1.57218638184637	1.22445206109788	-0.069498089416145	0.35812120045661	363.91912741152	233.063972274442	238.518820454741	287.291920352982	353.342936387966	3.27654121556338	0.233097717311909	1.79833248103994	1.03650895584905	0.911404156633401	1.6167333109832
chr1	13069298	13074106	5	45	4809	INT	0	50	0.784313725490196	51	0.630434782608696	46	1	36	0.515151515151515	33	0.958333333333333	48	0.0229007633587786	1048	0.388888888888889	72	0.762114537444934	227	0.705521472392638	326	0.858895705521472	489	0.685552407932011	353	55	1	1	2.69164182692705	1.87927587313468	0.541997263211328	0.594594478298677	0.894785793121148	0.985714455884679	-0.209528614870586	-0.147231699814813	261.3733414703	323.522553729338	321.721306074524	264.818896021616	366.33855938745	1.75051242100051	0.15417885802705	1.31224967022079	0.54957580259435	1.07761953588346	2.57134586100765
chr1	13074107	13075526	6	45	1420	DM	0	9	0	9	0	9	1	7	0.25	8	1	6	0.0331491712707182	181			0.777777777777778	9			0.79746835443038	79	0.590909090909091	66	7	1	1	2.82172701166486	1.98767958363495	0.764927634065079	0.722952256214167	3.86264566935451	2.77416162239137	0.870428460935556	-0.206828653277375	873.480049203305	457.545392461815	503.667473577534	965.287658911947	999.738497043813	1.19734669927467	0.297698757785667	1.79597607018805	0.970545493356478	2.07381371742815	3.808516145576
chr1	13075527	13083594	7	45	8068	INT	0.181818181818182	77	0.948717948717949	78	0.947368421052632	76	1	71	0.804347826086957	46	0.954545454545455	88	0.115961800818554	2199			0.787650602409639	664	0.703703703703704	540	0.864959254947614	859	0.845679012345679	486	87	1	1	1.73071290314757	1.21914917161785	0.542416688855117	0.459523683446379	0.236053937593113	0.0205954855745021	-0.303232749650535	-0.278706331140512	127.185350662579	224.057053401013	233.323814219407	173.588549177624	266.20376935522	0.911602316408047	0.0570509036429961	0.962811553262953	0.809273469970765	0.189144903470887	1.33119727799492
chr1	13083595	13087343	8	45	3749	DM	0	30	0	29	0.125	32	1	30	0.380952380952381	21	0.766666666666667	30	0.0787937743190661	1028	0.2	65	0.50199203187251	251	0.566801619433198	247	0.619047619047619	273	0.674641148325359	209	34	1	1	3.76750605871246	2.45777246728139	1.21681633959994	1.10237556129959	1.22356362312841	1.42279867150649	-0.051546546888376	0.123977324122809	286.607727990988	445.578729962981	457.339173553943	430.137348752002	506.985556545276	3.17042887745318	1.29088439803845	2.31955917975265	1.75659655754541	1.67796844524827	3.75792377564543
chr1	13087344	13090961	9	45	3618	INT	0.37037037037037	27	1	24	1	29	1	18	0.592592592592593	27	0.911764705882353	34	0.267482517482518	572	0.422535211267606	71	0.790697674418605	258	0.712707182320442	181	0.821428571428571	308	0.751111111111111	225	30	1	1	1.00469344540825	0.767130623793941	0.485683770364631	0.6119016313615	0.0379545039007668	0.144129266583263	-0.350469828469012	-0.196319111888276	161.820410000087	152.784073977917	108.60764129594	121.02653514155	220.693922112748	0.331391342664623	0.0840187951819562	0.559960683343139	0.531163876313291	0	0.320983579301289
chr1	13090962	13091138	10	45	177	DM	0	8	0	8	1	8	1	8	0.8	5	1	11	0.22027972027972	286	0.571428571428571	7	0.88135593220339	59	0.867647058823529	68	0.8984375	128	0.8125	112	6	1	1	1.62117946120248	1.26285462017994	0.303054037213822	0.622848107476185	0.476833330694283	0.38125246964938	-0.960278342903762	-0.60272247062378	1682.35896976761	337.578453492879	566.402650915871	615.122097077265	542.289345300142	1.02247129692429	0.689638121991752	0.990815014279223	0.765406406401381	0	2.65124537303403
